rank_envelope,name,z40_rms_waves,z20_rms_waves,envelope_score,footprint_iou,inside_fill_fraction,outside_fraction,outer_band_rmse,rectangle_accepted,center_ratio,middle_over_sides,core_rms_fraction,hole_target_score,size50_x_um,size50_y_um
151,Z40+12.000_Z20+1.500_rmswaves,12.0,1.5,28.486094618592126,0.4199595790647432,0.736790726052471,0.5055682934818212,0.5250437402812594,False,0.9210138586623421,1.0652589296463013,0.6489354323773222,9.73051309072056,117.5152937774476,114.47875254186681
152,Z40-3.000_Z20-3.750_rmswaves,-3.0,-3.75,28.597013371474944,0.4186780133519184,0.6964002440512508,0.4893064876957494,0.498316279166,False,1.2924752514486548,1.1233986258070825,0.7045442946331205,16.811184525016543,133.73830748999367,170.21613067236945
153,Z40+6.000_Z20+0.000_rmswaves,6.0,0.0,28.607282746458182,0.411242044237192,0.8002440512507627,0.5392074198988196,0.5581550093144725,False,0.7622844760319448,0.7114104039438613,0.6874075418122186,9.918677558977885,nan,nan
154,Z40+9.000_Z20-6.000_rmswaves,9.0,-6.0,28.66163358028507,0.40468896530165677,0.7923123856009762,0.5461027612722824,0.5227773620322189,False,0.9618753183620491,0.8930317514949389,0.6295751432130218,8.932353770993034,67.8744850634018,7.835233953853578
155,Z40-6.000_Z20-0.375_rmswaves,-6.0,-0.375,28.66627006103623,0.41855159376833323,0.787431360585723,0.5254798146922568,0.5885345074695468,False,1.0600783521510353,0.9165932759762668,0.5821089488404256,9.778223573756918,58.99596187519289,41.68461576096662
156,Z40+3.000_Z20+0.000_rmswaves,3.0,0.0,28.714838548588418,0.42702669680493616,0.8568639414276998,0.5379047117662543,0.7052995607375866,False,0.8592507708824502,0.7698141617090335,0.5100268222687082,6.473820718921285,nan,nan
157,Z40-12.000_Z20+3.000_rmswaves,-12.0,3.0,28.721782827706267,0.4135032011899373,0.7841366687004271,0.530743391266248,0.5672134590458328,False,0.8139293604745891,0.9152673849988485,0.5998573233932658,7.081295853564213,nan,nan
158,Z40+6.000_Z20+1.500_rmswaves,6.0,1.5,28.726784800714874,0.4024350543655186,0.7557046979865771,0.5370411901024146,0.4825146010085849,False,0.983103425598201,1.0250737348159231,0.5877373476321105,9.116900912261073,208.4444035636306,119.81148746813025
159,Z40+3.000_Z20+2.250_rmswaves,3.0,2.25,28.754750594416837,0.42255628868784434,0.761928004881025,0.5102745098039215,0.5957191800092085,False,0.46007954995034395,0.7427175431296386,0.671821144354863,12.152374789031969,nan,nan
160,Z40-9.000_Z20+5.625_rmswaves,-9.0,5.625,28.786512985166656,0.39659126123334365,0.7847467968273337,0.5525015656530513,0.49252318868145334,False,1.1106909894426906,0.9581890583039293,0.5615689849267512,10.58741999531325,23.77817388404853,130.0912023747355
161,Z40+12.000_Z20+6.000_rmswaves,12.0,6.0,28.84030194926686,0.4252559726962457,0.6841976815131178,0.4724809483488569,0.5541792517471512,False,1.0344129721530726,1.2170574063755188,0.6951591057730881,13.613820200903573,118.86460388292832,126.48796519879372
162,Z40+9.000_Z20+4.125_rmswaves,9.0,4.125,28.944319486312594,0.40955898018606635,0.7037217815741306,0.5064612751390671,0.49788603856830554,False,1.1412484568788295,1.2538083648372507,0.7011730864283202,15.650953754418264,121.9743430771602,122.63753094191756
163,Z40-9.000_Z20+2.625_rmswaves,-9.0,2.625,28.957100208781835,0.39751513220770945,0.7618059792556436,0.5466560162660664,0.49012236616131466,False,1.1740225393517931,1.0108839772675828,0.5927364239075813,12.455278424399383,29.640596957687066,109.67307371849502
164,Z40+3.000_Z20+1.875_rmswaves,3.0,1.875,28.985383983570248,0.43904564037262916,0.8032946918852959,0.5053723044556315,0.7422665802908139,False,1.0255900800071156,0.882154653561898,0.6185869697032643,9.704392209325238,24.623307990121727,120.2909440076525
165,Z40-9.000_Z20+1.875_rmswaves,-9.0,1.875,29.018670121582634,0.4086131107855004,0.7865771812080536,0.5378548895899053,0.5811631843736397,False,0.8654735237561,0.8980978172513278,0.6293357017189607,7.925753755158759,nan,nan
166,Z40-9.000_Z20-4.125_rmswaves,-9.0,-4.125,29.027265988389225,0.4211415062478892,0.7647345942647956,0.5133183194843519,0.62382084952104,False,1.1126497985943655,0.9936416310797311,0.6683618518775913,12.146773189880916,18.100596412995174,83.29314578779457
167,Z40-6.000_Z20-2.625_rmswaves,-6.0,-2.625,29.030385940800947,0.4019023377319311,0.7341061622940818,0.528748237505875,0.4973902132742167,False,0.9173408479762952,0.9849956411833173,0.6448796429177059,8.943447187131234,nan,nan
168,Z40+9.000_Z20+1.500_rmswaves,9.0,1.5,29.0354221935148,0.40862366333218353,0.7232458816351434,0.5163606691146471,0.5204494719990713,False,1.1201811974026423,1.2606840323599366,0.6820959499072656,15.228100240746269,119.90754977852986,117.69327790094286
169,Z40-9.000_Z20+3.375_rmswaves,-9.0,3.375,29.04105835845194,0.4050962699370909,0.7818181818181819,0.5406839199942648,0.5619172055613814,False,1.0077230276626696,0.909259810556359,0.6164756174369533,9.383169292829768,69.20289644812165,18.14763691896368
170,Z40+9.000_Z20-5.250_rmswaves,9.0,-5.25,29.06365593882397,0.39364303178484106,0.7701037217815742,0.5513613421482904,0.4966813774633249,False,1.1978513559892068,1.0462681965210003,0.6285416608340245,13.546748729830949,24.434218198543064,128.67926216713948
171,Z40-6.000_Z20-5.250_rmswaves,-6.0,-5.25,29.087790986761178,0.41705566780464015,0.7304453935326418,0.508377135348226,0.5748043091018857,False,0.7953448359375749,0.9589079750591959,0.7720063172368784,10.563004515719431,nan,nan
172,Z40-12.000_Z20-5.625_rmswaves,-12.0,-5.625,29.098977675712252,0.4267262791852956,0.7337400854179378,0.49644083410099654,0.628005035616769,False,0.8956526359265818,1.0851348398262148,0.6487273523044241,9.733661391571728,114.59136622365733,123.9589985582804
173,Z40+12.000_Z20-0.375_rmswaves,12.0,-0.375,29.120106213302236,0.41225969761236914,0.7392312385600976,0.5145833333333333,0.568163696273522,False,0.7332847671708346,0.927544339601552,0.6195013849619286,7.493451733503133,nan,nan
174,Z40+6.000_Z20-0.750_rmswaves,6.0,-0.75,29.122003183717283,0.41815002185997124,0.8194020744356315,0.5382658323592107,0.6707948107406184,False,0.9551141641830616,0.8061736421741565,0.6133890396973815,8.870365011588168,23.685944592042254,74.92030890151507
175,Z40-12.000_Z20+4.500_rmswaves,-12.0,4.5,29.165002654537933,0.41299091681369665,0.7751067724222087,0.5280832095096583,0.6093084133544681,False,0.8863582353638201,0.8802174882009103,0.7022489355605556,9.48364350765632,nan,nan
176,Z40+9.000_Z20-4.875_rmswaves,9.0,-4.875,29.193948943377677,0.41380657766199935,0.7792556436851739,0.5285693193562675,0.6207230926846791,False,0.8870945489043904,0.9767537194697493,0.6238814022852952,8.23489808374545,nan,nan
177,Z40-3.000_Z20-3.000_rmswaves,-3.0,-3.0,29.20130202248046,0.3959953209936008,0.7061622940817571,0.522721649484536,0.4673031725742893,False,1.4383100548268577,1.2915968564477522,0.6638266262731868,21.009528285421467,39.718411551325374,258.24993741645426
178,Z40+12.000_Z20+1.125_rmswaves,12.0,1.125,29.2212965117488,0.4283107586497298,0.74862721171446,0.4966773320206744,0.6694126768997241,False,1.0940170184933842,0.9135838693583479,0.7611128314320516,12.991973985682497,20.02384435876606,74.17190628184993
179,Z40-12.000_Z20+3.750_rmswaves,-12.0,3.75,29.22918544319011,0.39810271508014394,0.7425259304453935,0.539259483607178,0.5067100686805686,False,1.2915826496659712,0.9711937532017454,0.6670976536519361,15.511392025182909,31.847213770095166,102.87255022972832
180,Z40-9.000_Z20-6.000_rmswaves,-9.0,-6.0,29.231665607053777,0.41230616724491964,0.7144600366076876,0.5030976831027751,0.5617619048385808,False,0.969577750258419,0.8138394615838703,0.6839909513324927,10.186607575374493,13.993461414835444,72.7223560865545
181,Z40-9.000_Z20-5.250_rmswaves,-9.0,-5.25,29.237050665430026,0.42165283291230604,0.7167785234899329,0.4907230795907751,0.6124877444372583,False,0.9029238594135537,0.7886278901649431,0.7703747146395622,11.235697546629378,nan,nan
182,Z40+3.000_Z20+3.000_rmswaves,3.0,3.0,29.240186540362686,0.4024764080062511,0.8209884075655888,0.556493078444298,0.6129946025442119,False,0.43477800842160863,0.9271485511987981,0.6344920852626937,11.462486493935392,nan,nan
